SDS 2.4	AQ Results	1.0
Filename	juuni2
PlateID	
Assay Type	Absolute Quantification
Run DateTime	6/2/13 8:51:19 PM
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
1	A1	SYBR	SYBR	Unknown	20.609604	84.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
2	A2	SYBR	SYBR	Unknown	20.697712	84.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
3	A3	SYBR	SYBR	Unknown	21.01041	83.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
4	A4	SYBR	SYBR	Unknown	21.868826	84.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
5	A5	SYBR	SYBR	Unknown	21.956076	84.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
6	A6	SYBR	SYBR	Unknown	21.82556	84.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
7	A7	SYBR	SYBR	Unknown	22.966892	84.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
8	A8	SYBR	SYBR	Unknown	20.785282	83.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
9	A9	SYBR	SYBR	Unknown	22.531816	84.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
10	A10	SYBR	SYBR	Unknown	21.09609	83.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
11	A11	SYBR	SYBR	Unknown	22.615484	84.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
12	A12	SYBR	SYBR	Unknown	22.033339	84.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
13	A13	SYBR	SYBR	Unknown	28.187538	74.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
14	A14	SYBR	SYBR	Unknown	26.60777	83.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
15	A15	SYBR	SYBR	Unknown	26.584656	83.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
16	A16	SYBR	SYBR	Unknown	25.375341	84.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
17	A17	SYBR	SYBR	Unknown	25.334303	83.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
18	A18	SYBR	SYBR	Unknown	25.386435	83.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
25	B1	SYBR	SYBR	Unknown	20.901016	86.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
26	B2	SYBR	SYBR	Unknown	20.730577	85.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
27	B3	SYBR	SYBR	Unknown	21.186262	85.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
28	B4	SYBR	SYBR	Unknown	20.96551	86.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
29	B5	SYBR	SYBR	Unknown	20.908329	86.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
30	B6	SYBR	SYBR	Unknown	21.3166	85.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
31	B7	SYBR	SYBR	Unknown	21.82359	85.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
32	B8	SYBR	SYBR	Unknown	21.45111	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
33	B9	SYBR	SYBR	Unknown	21.658339	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
34	B10	SYBR	SYBR	Unknown	22.324959	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565					true								
35	B11	SYBR	SYBR	Unknown	22.439198	85.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
36	B12	SYBR	SYBR	Unknown	22.160183	86.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
37	B13	SYBR	SYBR	Unknown	25.639051	86.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
38	B14	SYBR	SYBR	Unknown	25.804964	86.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
39	B15	SYBR	SYBR	Unknown	26.19011	85.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
40	B16	SYBR	SYBR	Unknown	26.511642	85.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
41	B17	SYBR	SYBR	Unknown	26.157772	86.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
42	B18	SYBR	SYBR	Unknown	26.131857	86.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
49	C1	SYBR	SYBR	Unknown	19.831709	84.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
50	C2	SYBR	SYBR	Unknown	Undetermined	62.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565						true			true				
51	C3	SYBR	SYBR	Unknown	20.044615	84.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
52	C4	SYBR	SYBR	Unknown	21.675383	84.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
53	C5	SYBR	SYBR	Unknown	21.668083	84.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
54	C6	SYBR	SYBR	Unknown	21.904415	83.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
55	C7	SYBR	SYBR	Unknown	27.011654	84.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
56	C8	SYBR	SYBR	Unknown	22.47107	84.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
57	C9	SYBR	SYBR	Unknown	22.389364	83.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
58	C10	SYBR	SYBR	Unknown	18.974499	82.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
59	C11	SYBR	SYBR	Unknown	22.553886	82.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
60	C12	SYBR	SYBR	Unknown	22.342905	83.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
61	C13	SYBR	SYBR	Unknown	26.539728	83.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
62	C14	SYBR	SYBR	Unknown	25.654799	83.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
63	C15	SYBR	SYBR	Unknown	24.762745	73.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
